,노드링크 유형,시군구명,읍면동명,위도,경도
1480,LINK,강남구,세곡동,37.46463968070007,127.10998820366494
1481,LINK,강남구,삼성동,37.51854521633881,127.04784011111504
1482,NODE,강남구,개포동,37.4825400279398,127.06235915289611
1483,NODE,강남구,삼성동,37.51513511708952,127.06607160462873
1484,NODE,강남구,삼성동,37.51410118506197,127.06591258604392
1485,NODE,강남구,삼성동,37.51524480149507,127.06636762651591
1486,LINK,강남구,대치동,37.48889832652162,127.05686189316722
1487,NODE,강남구,개포동,37.483443338862614,127.06361777041832
1488,NODE,강남구,도곡동,37.486278273638085,127.0525748294985
1489,NODE,강남구,삼성동,37.51512871761739,127.06595945861837
1490,NODE,강남구,도곡동,37.48860475144277,127.05379845286956
1491,NODE,강남구,도곡동,37.486828834640114,127.05378569144018
1492,NODE,강남구,도곡동,37.488151986386065,127.05547323518975
1493,LINK,강남구,대치동,37.50444312117158,127.05769866348932
1494,LINK,강남구,일원동,37.485371653632555,127.08320495386589
1495,LINK,강남구,대치동,37.490700498066154,127.06546567156322
1496,NODE,강남구,도곡동,37.48935734362549,127.0557738986787
1497,NODE,강남구,역삼동,37.49586855796827,127.03950670075346
1498,NODE,강남구,도곡동,37.495417998545925,127.05074039029323
1499,NODE,강남구,논현동,37.5103497010103,127.04360116342394
1500,LINK,강남구,세곡동,37.4663278822876,127.11847036604702
1501,NODE,강남구,도곡동,37.48375400493156,127.0423221914354
1502,NODE,강남구,삼성동,37.515076146730685,127.06584161715183
1503,NODE,강남구,삼성동,37.51411269827875,127.06578618343471
1504,LINK,강남구,대치동,37.496747239057136,127.07013469061926
1505,NODE,강남구,삼성동,37.51217201837242,127.06576724240864
1506,LINK,강남구,일원동,37.489053639258046,127.07430266425398
1507,NODE,강남구,도곡동,37.48809161669564,127.04970940534753
