노드링크 유형,시군구명,읍면동명,위도,경도
LINK,노원구,중계동,37.652443024,127.07362272
NODE,노원구,상계동,37.672295749,127.08314359
NODE,노원구,중계동,37.646653286,127.07029298
NODE,노원구,중계동,37.646390436,127.06629962
LINK,노원구,월계동,37.624305602,127.04983122
NODE,노원구,중계동,37.660548915,127.07569303
LINK,노원구,상계동,37.654549022,127.06079563
NODE,노원구,중계동,37.661448674,127.07584334
NODE,노원구,중계동,37.661467126,127.07556181
NODE,노원구,공릉동,37.622431348,127.08596481
LINK,노원구,하계동,37.639213172,127.06944657
NODE,노원구,상계동,37.656284283,127.06270478
NODE,노원구,중계동,37.647799967,127.0678073
LINK,노원구,중계동,37.654553876,127.07420325
NODE,노원구,중계동,37.659860696,127.07555836
NODE,노원구,상계동,37.68222073,127.05526389
NODE,노원구,상계동,37.680801871,127.05525996
NODE,노원구,상계동,37.678469771,127.05554329
LINK,노원구,상계동,37.670916856,127.05850314
NODE,노원구,공릉동,37.622369745,127.08570867
NODE,노원구,공릉동,37.621698297,127.08695946
LINK,노원구,월계동,37.619940716,127.05835349
NODE,노원구,중계동,37.642751633,127.06238974
NODE,노원구,중계동,37.659910205,127.07528949
LINK,노원구,상계동,37.667859278,127.06644941
NODE,노원구,상계동,37.660830013,127.07160418
LINK,노원구,중계동,37.63820169,127.06454902
LINK,노원구,하계동,37.641723674,127.07243307
NODE,노원구,공릉동,37.622671062,127.08675631
NODE,노원구,상계동,37.660727114,127.07146735
LINK,노원구,하계동,37.634848706,127.06604479
LINK,노원구,월계동,37.631587595,127.06123535
NODE,노원구,중계동,37.658028569,127.07492706
LINK,노원구,공릉동,37.626122568,127.0796447
NODE,노원구,공릉동,37.622723482,127.08704985
NODE,노원구,공릉동,37.623154863,127.09010163
NODE,노원구,중계동,37.657404817,127.07673497
NODE,노원구,공릉동,37.622199515,127.08845186
NODE,노원구,하계동,37.634920745,127.06613118
NODE,노원구,하계동,37.638512132,127.06687252
NODE,노원구,하계동,37.638589728,127.0672467
NODE,노원구,하계동,37.63168625,127.06761312
NODE,노원구,중계동,37.65202533,127.07765098
NODE,노원구,하계동,37.631867073,127.06755861
NODE,노원구,하계동,37.63187396,127.06752121
LINK,노원구,상계동,37.65693386,127.06665738
LINK,노원구,중계동,37.650279777,127.08109553
LINK,노원구,중계동,37.642690309,127.06788313
NODE,노원구,공릉동,37.621993451,127.08858396
LINK,노원구,하계동,37.635169228,127.07170041
NODE,노원구,상계동,37.674072562,127.05518881
LINK,노원구,상계동,37.664419871,127.05495418
LINK,노원구,중계동,37.649022928,127.06974035
LINK,노원구,공릉동,37.622400547,127.08583674
NODE,노원구,하계동,37.638940155,127.07518178
NODE,노원구,월계동,37.618132155,127.05732211
NODE,노원구,공릉동,37.627299799,127.07994808
LINK,노원구,중계동,37.649709648,127.08099812
LINK,노원구,중계동,37.644140821,127.06723965
NODE,노원구,월계동,37.618415847,127.05749351
NODE,노원구,공릉동,37.624341815,127.0865626
LINK,노원구,공릉동,37.621769082,127.08717389
LINK,노원구,중계동,37.650603587,127.07990065
LINK,노원구,공릉동,37.621677304,127.08749602
LINK,노원구,공릉동,37.622697272,127.08690308
NODE,노원구,공릉동,37.623255584,127.08545074
NODE,노원구,상계동,37.661522927,127.07053254
NODE,노원구,공릉동,37.617829074,127.07537795
