학원명,주소,Latitude,Longitude,정원합계,일시수용능력인원합계
민교수수학교습소,서울특별시 강남구 선릉로 225,37.4953404,127.0526522,9,2
에이루트아카데미학원,서울특별시 강남구 언주로133길 29,37.5158458,127.0328519,4,101
원헌드레드클래식스(100CLASSICS)어학원,서울특별시 강남구 언주로 861,37.5274105,127.0330945,726,247
강남고도미술학원,서울특별시 강남구 강남대로 240,37.4853089,127.0344036,520,247
에스에이(SA)쎈학원,서울특별시 강남구 영동대로112길 5,37.5151738,127.0606537,71,78
이해법수학교습소,서울특별시 강남구 광평로10길 15,37.482024,127.0821324,36,4
이아이이(EIE)매쓰캔학원,서울특별시 강남구 개포로22길 94,37.475177,127.0529859,40,82
체험수학학원,서울특별시 강남구 선릉로72길 20,37.500342,127.0528515,31,142
펠리스스페인어학원,서울특별시 강남구 테헤란로1길 10,37.4989555,127.0282257,780,277
파라오프리미엄미술학원,서울특별시 강남구 선릉로 408,37.5014247,127.050749,170,150
와이즈만압구정학원,서울특별시 강남구 압구정로34길 11,37.5273895,127.030957,137,192
미래탐구별관2학원,서울특별시 강남구 도곡로63길 13,37.4978091,127.0540217,2300,240
티움미술학원,서울특별시 강남구 선릉로86길 12,37.5031278,127.0508928,280,66
월스트리트잉글리쉬삼성센터어학원,서울특별시 강남구 테헤란로 513,37.5080341,127.0588956,960,1680
조아사진학원,서울특별시 강남구 남부순환로361길 9,37.485629,127.0370664,74,73
대치미탐초등영재학원,서울특별시 강남구 삼성로 308,37.4997202,127.0608292,670,123
맑은샘학원,서울특별시 강남구 개포로22길 74,37.4747462,127.0514318,65,73
개념상상압구정관학원,서울특별시 강남구 압구정로30길 17,37.5263249,127.0295435,1666,167
박승철뷰티아카데미학원,서울특별시 강남구 언주로 869,37.5281908,127.0332462,60,119
에스이레아카데미원격학원,서울특별시 강남구 테헤란로86길 15,37.5064486,127.0595016,205,112
신하연영어교습소,서울특별시 강남구 선릉로68길 12,37.4990337,127.0528074,14,2
압구정파인만중3관학원,서울특별시 강남구 언주로167길 37,37.5263835,127.0300741,459,232
압구정파인만중2관학원,서울특별시 강남구 언주로167길 37,37.5263835,127.0300741,459,165
피아이어학원,서울특별시 강남구 도곡로 319,37.4958652,127.0508552,188,216
블루숲미술교습소,서울특별시 강남구 압구정로18길 14,37.5239605,127.0245343,12,9
리온미술학원,서울특별시 강남구 선릉로86길 15,37.503546,127.0508294,210,100
새움6관학원,서울특별시 강남구 삼성로 301,37.499102,127.0604069,5200,103
대치소마학원,서울특별시 강남구 삼성로 314,37.5000352,127.0606496,64,88
배선생학원,서울특별시 강남구 삼성로63길 6,37.5001238,127.0596183,159,92
엘리제피아노교습소,서울특별시 강남구 남부순환로363길 15,37.4862718,127.0377353,30,4
제2한빛변리사학원,서울특별시 강남구 논현로95길 29-8,37.5014469,127.0338649,2520,360
시카고아트미술교습소,서울특별시 강남구 언주로 110,37.4845146,127.054174,6,6
알아이에스키즈어학원(Ris Kids Academy),서울특별시 강남구 도곡로 157,37.4914833,127.0370101,52,180
이보영의토킹클럽강남삼성분원학원,서울특별시 강남구 봉은사로67길 30,37.513696,127.0480768,81,63
게임그래픽학원,서울특별시 강남구 학동로4길 15,37.5105327,127.0235227,210,89
국제방송아카데미학원,서울특별시 강남구 봉은사로 640?,37.5148487,127.0653386,30,95
투맨미술학원,서울특별시 강남구 선릉로86길 44-3,37.5038864,127.0535636,210,48
엠아이어학원,서울특별시 강남구 선릉로 305,37.4966422,127.0524101,16,215
엔에프에이(NFA)학원,서울특별시 강남구 영동대로50길 10,37.4985403,127.0699374,1032,145
은하수미술교습소,서울특별시 강남구 역삼로 306,37.4985708,127.0464187,28,7
세계로학원,서울특별시 강남구 도곡로 430,37.4975062,127.0575512,16,140
개념상상학원,서울특별시 강남구 도곡로 418,37.4970089,127.0562594,5100,287
우리들판미술학원,서울특별시 강남구 영동대로 219,37.4983564,127.0682936,24,53
케이엔에스(KNS)영어학원,서울특별시 강남구 삼성로 238,37.4986375,127.0614624,635,185
참소리피아노교습소,서울특별시 강남구 언주로 110,37.4845146,127.054174,3,3
윤선생영어교습소,서울특별시 강남구 역삼로70길 28,37.4996713,127.054138,8,4
백상국어학원,서울특별시 강남구 삼성로 348,37.5026803,127.0591664,18,166
디자인센트럴학원,서울특별시 강남구 논현로79길 56,37.4963739,127.0344595,36,71
비스컴디자인학원,서울특별시 강남구 압구정로4길 27-3,37.5215457,127.0207197,10,12
가야건축인테리어학원,서울특별시 강남구 테헤란로1길 28-13,37.500626,127.0284869,210,69
천개의고원중3고등관학원,서울특별시 강남구 삼성로 307,37.4994104,127.0602933,132,168
수앤수수학학원,서울특별시 강남구 삼성로67길 22,37.5008433,127.057656,36,112
만지학원,서울특별시 강남구 삼성로 348,37.5026803,127.0591664,60,36
케이엔에스에듀초중등1관어학원,서울특별시 강남구 도곡로 517,37.4998422,127.0629444,745,201
대치해냄학원,서울특별시 강남구 삼성로71길 12,37.5022678,127.0578621,30,84
김태호과학학원,서울특별시 강남구 도곡로77길 7,37.4988033,127.0583171,320,288
대치베스트다빈치2관학원,서울특별시 강남구 역삼로64길 20,37.4997609,127.0531188,90,156
대치1:1영수학원,서울특별시 강남구 역삼로64길 11,37.5003384,127.0531944,120,73
선경어학원,서울특별시 강남구 남부순환로 2936,37.4933573,127.0619092,1350,375
새밝보습학원,서울특별시 강남구 역삼로 458,37.5024983,127.0574222,20,100
패러곤보습학원,서울특별시 강남구 남부순환로 3032,37.4919843,127.058717,8,48
글로벌퍼스트학원,서울특별시 강남구 삼성로57길 19,37.4976226,127.0595092,106,80
더발레아카데미발레학원,서울특별시 강남구 논현로 838,37.5234564,127.0286181,45,30
디비니티에듀보습학원,서울특별시 강남구 언주로 118,37.4865165,127.0518831,80,108
강남백합음악학원,서울특별시 강남구 개포로109길 5,37.4941844,127.0752156,110,81
일원이해법수학교습소,서울특별시 강남구 광평로10길 50,37.4805122,127.082524,14,2
아트정글미술학원,서울특별시 강남구 선릉로132길 41,37.5186619,127.0445609,4,80
원인학원,서울특별시 강남구 선릉로 310,37.4972908,127.0527881,396,103
예지인미술교습소,서울특별시 강남구 압구정로 108,37.5229191,127.0205789,27,9
예손피아노교습소,서울특별시 강남구 영동대로 210,37.4980827,127.0712194,7,2
엠큐수학교습소,서울특별시 강남구 압구정로 110,37.5229663,127.0209482,6,2
맑은소리피아노교습소,서울특별시 강남구 강남대로66길 32,37.4922802,127.0334257,20,4
공감입시학원,서울특별시 강남구 삼성로 311,37.4996418,127.0601672,40,110
빅스영어보습학원,서울특별시 강남구 선릉로 225,37.4953404,127.0526522,16,180
김민정막강수학학원,서울특별시 강남구 삼성로63길 6,37.5001238,127.0596183,30,165
미래탐구논증과추론학원,서울특별시 강남구 도곡로 436,37.4976943,127.0581602,230,153
플래뮤미술학원,서울특별시 강남구 도산대로94길 19,37.5240819,127.0516007,45,50
엘리트교실해법영어교습소,서울특별시 강남구 일원로5길 30,37.4915382,127.0831998,18,4
대치열린학원,서울특별시 강남구 삼성로 231,37.4978277,127.0610138,12,48
드림하이본원학원,서울특별시 강남구 삼성로58길 7,37.4986625,127.0618033,100,88
와세다에듀학원,서울특별시 강남구 강남대로94길 27,37.4998786,127.0294539,16,46
아트팔레트미술교습소,서울특별시 강남구 남부순환로363길 15,37.4862718,127.0377353,6,9
개념과유형보습학원,서울특별시 강남구 광평로 63?,37.4828777,127.0796221,96,108
한국영재학원,서울특별시 강남구 선릉로 225,37.4953404,127.0526522,18,69
러셀대치학원,서울특별시 강남구 남부순환로 2942,37.4935818,127.0623994,62032,1075
기타와드럼음악학원,서울특별시 강남구 개포로82길 13-17,37.4888736,127.068594,22,46
큐브어학원,서울특별시 강남구 삼성로71길 41,37.5012117,127.0555697,169,155
위자듀학원,서울특별시 강남구 선릉로 326,37.4987628,127.0520992,232,60
더뮤즈음악원음악교습소,서울특별시 강남구 역삼로52길 14,37.4985291,127.0479489,2,5
헬로아트미술교습소,서울특별시 강남구 양재대로55길 6,37.4913369,127.0884053,36,9
프라임해법영어교습소,서울특별시 강남구 남부순환로365길 51,37.4887105,127.0400223,36,9
해냄학원,서울특별시 강남구 삼성로71길 12,37.5022678,127.0578621,205,279
도곡렉슬예랑미술학원,서울특별시 강남구 선릉로 225,37.4953404,127.0526522,136,53
기한성국어교습소,서울특별시 강남구 도곡로 413,37.4975956,127.0557613,7,7
위드매스학원,서울특별시 강남구 선릉로132길 60,37.5187461,127.0461253,8,50
대치정상수학학원,서울특별시 강남구 영동대로 229,37.4995718,127.0674703,264,240
발자국소리가큰아이들청담미술학원,서울특별시 강남구 학동로63길 11,37.5187478,127.0447799,5,20
스와튼인터내셔널아카데미어학원,서울특별시 강남구 도곡로 430,37.4975062,127.0575512,65,90
수서브람스피아노교습소,서울특별시 강남구 광평로51길 27,37.4891608,127.1009461,12,4
예향음악교습소,서울특별시 강남구 압구정로36길 34,37.5262264,127.0313481,8,4
메릭스수학영어학원,서울특별시 강남구 강남대로66길 32,37.4922802,127.0334257,30,120
스타게이트연기학원,서울특별시 강남구 강남대로 578,37.5133732,127.020839,12,137
애플트리개포어학학원,서울특별시 강남구 개포로 408,37.4858037,127.0634758,64,540
에이급수학학원,서울특별시 강남구 삼성로 311,37.4996418,127.0601672,26,96
압구정크라센2관어학원,서울특별시 강남구 압구정로34길 30,37.5262165,127.0305175,4492,325
핫국어교습소,서울특별시 강남구 압구정로 114,37.5232774,127.021304,16,3
용수학교습소,서울특별시 강남구 삼성로 654,37.5185909,127.0507369,20,5
그림세계미술교습소,서울특별시 강남구 광평로31길 27,37.4848958,127.0906778,24,6
일원그림과화실미술교습소,서울특별시 강남구 광평로10길 15,37.482024,127.0821324,16,4
키즈아트아카데미음악학원,서울특별시 강남구 선릉로130길 20,37.5161513,127.0434365,25,216
동경일본어교습소,서울특별시 강남구 남부순환로 2921,37.4936059,127.0597001,2,2
최상수학교습소,서울특별시 강남구 압구정로 224,37.5285363,127.0321595,9,3
영재해법수학교습소,서울특별시 강남구 역삼로 306,37.4985708,127.0464187,12,2
올리브학원,서울특별시 강남구 남부순환로 2941,37.4942268,127.0617852,45,71
에꼴뒤벵프랑스학원,서울특별시 강남구 압구정로48길 34?,37.5263454,127.0367829,184,92
