학원명,도로명주소,위도,경도,정원합계,일시수용능력인원합계,어린이보호구역여부,인원,근처학원수,근처수강생총합,근처휴게음식점수,근처횡단보도수,사고건수
중계탑클래스은행사거리학원,서울특별시 노원구 한글비석로 271,37.6519943,127.0770251,602,81,0.0,81.0,479.0,60423.0,58.0,73.0,3.0
이감수학학원,서울특별시 노원구 중계로18길 13,37.6513077,127.0778154,42,78,0.0,42.0,465.0,60340.0,64.0,78.0,2.0
노원연세보습학원,서울특별시 노원구 상계로 193-25,37.6627597,127.0733601,30,91,0.0,30.0,46.0,1527.0,55.0,75.0,12.0
김재현수학학원,서울특별시 노원구 노원로 254,37.6402077,127.0735771,30,73,0.0,30.0,36.0,12061.0,34.0,62.0,5.0
새벽2시독서실,서울특별시 노원구 동일로230가길 10,37.6720151,127.0576106,148,148,0.0,148.0,49.0,2122.0,31.0,35.0,14.0
이튼보습학원,서울특별시 노원구 중계로 217,37.6504871,127.0759853,223,167,0.0,167.0,488.0,60250.0,58.0,74.0,2.0
윤오상수학학원,서울특별시 노원구 한글비석로 264,37.6509746,127.0771635,60,115,0.0,60.0,472.0,60491.0,62.0,78.0,2.0
루체음악학원,서울특별시 노원구 공릉로34길 34,37.6229669,127.0810212,35,31,0.0,31.0,81.0,3142.0,64.0,37.0,4.0
공릉최고수학보습학원,서울특별시 노원구 노원로1길 9,37.6221921,127.0863931,120,79,0.0,79.0,54.0,1172.0,26.0,70.0,13.0
양지통역학원,서울특별시 노원구 노원로 468,37.658125,127.0659897,105,40,0.0,40.0,84.0,14673.0,89.0,62.0,3.0
칼수학2관학원,서울특별시 노원구 한글비석로 272,37.6517354,127.0775931,186,201,0.0,186.0,467.0,60260.0,62.0,77.0,2.0
정진우수학학원,서울특별시 노원구 한글비석로 273,37.6521755,127.0771914,44,75,0.0,44.0,480.0,60469.0,58.0,74.0,3.0
맥스윈학원,서울특별시 노원구 노원로34길 76,37.6624675,127.0660687,62,81,0.0,62.0,77.0,3122.0,51.0,56.0,3.0
edu-pro보습학원,서울특별시 노원구 동일로192길 77,37.6280811,127.0768426,214,85,0.0,85.0,31.0,1776.0,58.0,52.0,5.0
고종대수학학원,서울특별시 노원구 공릉로46길 6,37.6268785,127.079495,140,74,0.0,74.0,64.0,2673.0,55.0,46.0,3.0
중계세일입시학원,서울특별시 노원구 중계로 206,37.6508711,127.077531,851,863,1.0,851.0,468.0,59757.0,65.0,73.0,2.0
토피아중등부학원,서울특별시 노원구 한글비석로 231,37.6482011,127.0762923,1060,917,0.0,917.0,440.0,58114.0,52.0,68.0,2.0
강북메가스터디학원,서울특별시 노원구 노해로 459,37.6542638,127.0590018,6161,1400,0.0,1400.0,87.0,7244.0,85.0,63.0,6.0
아이원미술학원,서울특별시 노원구 섬밭로 139,37.6291633,127.0668178,80,57,0.0,57.0,23.0,690.0,15.0,70.0,6.0
조재필수학학원,서울특별시 노원구 한글비석로 253,37.6504239,127.0763502,60,185,0.0,60.0,478.0,60125.0,59.0,76.0,2.0
엘림무용학원,서울특별시 노원구 동일로232길 27,37.6730038,127.0574204,56,42,0.0,42.0,30.0,1733.0,37.0,27.0,14.0
조승건수학전문학원상계2캠퍼스학원,서울특별시 노원구 덕릉로 459-37,37.6467584,127.0595441,64,96,0.0,64.0,46.0,1744.0,20.0,36.0,5.0
DES영어학원,서울특별시 노원구 화랑로51길 38,37.6249914,127.0890791,128,152,0.0,128.0,32.0,701.0,20.0,70.0,11.0
다솔학원,서울특별시 노원구 공릉로 154-8,37.6236801,127.0799425,204,107,0.0,107.0,74.0,2767.0,75.0,32.0,3.0
Lisa영어학원,서울특별시 노원구 한글비석로 276,37.6518713,127.0777853,22,70,0.0,22.0,462.0,60321.0,65.0,77.0,3.0
한빛간호학원,서울특별시 노원구 동일로 1393,37.6529411,127.0605151,133,165,0.0,133.0,94.0,10119.0,88.0,69.0,4.0
탑클래스학원,서울특별시 노원구 덕릉로60길 182,37.6327047,127.0436854,50,68,0.0,50.0,1.0,89.0,3.0,1.0,1.0
언희당국어교육별관학원,서울특별시 노원구 한글비석로 272,37.6517354,127.0775931,42,77,0.0,42.0,467.0,60404.0,62.0,77.0,2.0
피플미술학원,서울특별시 노원구 한글비석로 242,37.6493084,127.0769639,160,109,0.0,109.0,474.0,60161.0,59.0,66.0,2.0
로뎀음악학원,서울특별시 노원구 수락산로 234,37.6715296,127.0530298,24,240,0.0,24.0,34.0,2142.0,26.0,27.0,6.0
K연세음악학원,서울특별시 노원구 노원로34길 58,37.6614315,127.0659371,29,44,0.0,29.0,97.0,3862.0,60.0,67.0,3.0
제1조재필수학보습학원,서울특별시 노원구 한글비석로 253,37.6504239,127.0763502,48,98,0.0,48.0,478.0,60137.0,59.0,76.0,2.0
클링투영어보습학원,서울특별시 노원구 한글비석로 253,37.6504239,127.0763502,125,136,0.0,125.0,478.0,60060.0,59.0,76.0,2.0
에꼴무용학원,서울특별시 노원구 석계로9길 17,37.6171761,127.063258,80,41,0.0,41.0,43.0,1374.0,26.0,12.0,6.0
작은숲피아노교습소,서울특별시 노원구 동일로245가길 41,37.6799626,127.0535049,20,4,0.0,4.0,22.0,473.0,34.0,20.0,6.0
라라피아노교습소,서울특별시 노원구 노원로 421,37.654261,127.066997,15,5,0.0,5.0,81.0,15894.0,70.0,57.0,2.0
자이온뮤직음악교습소,서울특별시 노원구 덕릉로 459-37,37.6467584,127.0595441,40,9,0.0,9.0,46.0,1799.0,20.0,36.0,5.0
한우리독서토론논술보람논술교습소,서울특별시 노원구 한글비석로 474,37.6648566,127.0654725,12,6,0.0,6.0,66.0,2645.0,33.0,50.0,2.0
송기수국어교습소,서울특별시 노원구 한글비석로 276,37.6518713,127.0777853,18,3,0.0,3.0,462.0,60340.0,65.0,77.0,3.0
학림제3학원,서울특별시 노원구 한글비석로 242,37.6493084,127.0769639,2000,265,0.0,265.0,474.0,60005.0,59.0,66.0,2.0
개념의힘수학전문학원,서울특별시 노원구 덕릉로 680,37.6583669,127.0754616,16,70,0.0,16.0,65.0,4375.0,46.0,83.0,8.0
이보영의토킹클럽공릉학원,서울특별시 노원구 노원로1길 67,37.6208105,127.0836023,80,84,0.0,80.0,61.0,1962.0,38.0,50.0,13.0
김연수국어논술교습소,서울특별시 노원구 한글비석로 269,37.6517301,127.0767968,16,4,0.0,4.0,474.0,60235.0,57.0,74.0,2.0
팜스에듀학원,서울특별시 노원구 중계로 162-11,37.6497854,127.0813006,140,99,0.0,99.0,399.0,56988.0,63.0,54.0,2.0
조이음악교습소,서울특별시 노원구 공릉로59길 15,37.6331962,127.0710597,16,4,0.0,4.0,25.0,769.0,28.0,102.0,8.0
중계1관정상어학원,서울특별시 노원구 노원로 248,37.6398509,127.0739204,166,279,0.0,166.0,36.0,11836.0,29.0,60.0,5.0
금빛피아노교습소,서울특별시 노원구 상계로26길 20,37.6573541,127.0712422,9,3,0.0,3.0,86.0,4780.0,73.0,87.0,5.0
21세기연세단과전문학원,서울특별시 노원구 동일로 1596,37.6708653,127.0566743,280,199,0.0,199.0,85.0,3596.0,29.0,42.0,7.0
도담도담학원,서울특별시 노원구 노원로 560,37.6615763,127.0567228,660,155,0.0,155.0,68.0,1925.0,18.0,68.0,2.0
칸타레음악교습소,서울특별시 노원구 동일로250길 18,37.6816043,127.0565915,16,4,0.0,4.0,20.0,461.0,23.0,20.0,7.0
마이엠수학학원,서울특별시 노원구 섬밭로 263,37.6387852,127.0624881,100,85,0.0,85.0,53.0,2656.0,22.0,54.0,1.0
홍피아노교습소,서울특별시 노원구 한글비석로 571,37.6641843,127.0546598,8,4,0.0,4.0,78.0,3208.0,20.0,50.0,3.0
위드(With)음악교습소,서울특별시 노원구 마들로 31,37.6178025,127.0685682,16,4,0.0,4.0,28.0,811.0,23.0,30.0,1.0
에듀타임학원,서울특별시 노원구 노원로22길 77,37.6485878,127.0742954,457,89,0.0,89.0,451.0,59145.0,53.0,69.0,4.0
아름다운음악교습소,서울특별시 노원구 덕릉로 459-37,37.6467584,127.0595441,25,8,0.0,8.0,46.0,1800.0,20.0,36.0,5.0
투비영어교습소,서울특별시 노원구 동일로 1545,37.6663796,127.0569683,30,5,0.0,5.0,91.0,3667.0,27.0,58.0,5.0
지니영어학원,서울특별시 노원구 한글비석로 227,37.6479003,127.0762756,48,85,0.0,48.0,436.0,58803.0,50.0,58.0,2.0
핵심학원,서울특별시 노원구 덕릉로 680,37.6583669,127.0754616,30,88,0.0,30.0,65.0,4361.0,46.0,83.0,8.0
챌린지수학교습소,서울특별시 노원구 한글비석로 269,37.6517301,127.0767968,10,5,0.0,5.0,474.0,60234.0,57.0,74.0,2.0
영피아노교습소,서울특별시 노원구 노원로 522,37.6612049,127.0610037,12,4,0.0,4.0,63.0,3369.0,28.0,81.0,4.0
프로매쓰(promath)수학학원,서울특별시 노원구 중계로 197,37.6497527,127.0784681,35,93,0.0,35.0,473.0,60149.0,67.0,54.0,2.0
와이즈만영재학원,서울특별시 노원구 중계로 219,37.6504923,127.0756701,64,140,0.0,64.0,481.0,60068.0,57.0,72.0,2.0
중계미래탐구중등학원,서울특별시 노원구 한글비석로 232,37.6483769,127.0769291,1660,662,0.0,662.0,457.0,58740.0,56.0,64.0,2.0
퀸실용음악학원,서울특별시 노원구 동일로192길 52,37.6266329,127.0758728,46,96,0.0,46.0,50.0,13212.0,69.0,59.0,5.0
