,Unnamed: 0,학원명,도로명주소,위도,경도,정원합계,일시수용능력인원합계
244,244,하이클래스영어보습학원,서울특별시 광진구 뚝섬로58길 5,37.5316134,127.0842526,40,75.0
245,245,행복한제자들수학교습소,서울특별시 광진구 용마산로 160,37.5678471,127.0863908,24,4.0
246,246,튜터링랩(TutoringLAB)학원,서울특별시 광진구 자양로 163,37.5422422,127.0837783,472,70.0
247,247,드림아트우리들미술교습소,서울특별시 광진구 뚝섬로 541,37.5349189,127.0703778,27,9.0
248,248,아이노미술학원,서울특별시 광진구 아차산로69길 6,37.5423625,127.098436,12,52.0
249,249,해법중마영어교습소,서울특별시 광진구 동일로72길 42,37.5653782,127.0797526,60,6.0
250,250,안티영어학원,서울특별시 광진구 아차산로 491,37.5418283,127.0959883,100,88.0
251,251,일등수학뮤엠영어학원,서울특별시 광진구 동일로72길 10,37.5659496,127.0781452,375,71.0
252,252,늘봄미술교습소,서울특별시 광진구 용마산로7길 30,37.5595393,127.0861376,98,7.0
253,253,논리&표현논술교습소,서울특별시 광진구 천호대로113길 5,37.5575368,127.0830728,35,5.0
254,254,비엠에스(BMS)수학보습학원,서울특별시 광진구 용마산로 46,37.5576487,127.0882603,50,75.0
255,255,연세법학원,서울특별시 광진구 천호대로 590,37.555382,127.0830775,1100,75.0
256,256,밸런스뮤직실용음악학원,서울특별시 광진구 천호대로 553,37.5573989,127.0799164,540,61.0
257,257,블루버드아트미술학원,서울특별시 광진구 능동로6길 16,37.5340972,127.0690377,66,56.0
258,258,위너스영어학원,서울특별시 광진구 군자로 84,37.5505216,127.071161,140,73.0
259,259,오디션벨아카데미학원,서울특별시 광진구 광나루로 496,37.5448591,127.0844899,93,409.0
260,260,그린미술교습소,서울특별시 광진구 아차산로36길 35,37.5363514,127.0745967,84,6.0
261,261,빡쎈위드교육학원,서울특별시 광진구 광나루로 580,37.5432411,127.0932438,196,0.0
262,262,차선생영어교습소,서울특별시 광진구 아차산로 522,37.5419395,127.0996713,24,9.0
263,263,구의미술로생각하기학원,서울특별시 광진구 광나루로 584,37.54305129999999,127.0935523,10,30.0
264,264,해법삼성보습학원,서울특별시 광진구 용마산로3길 98,37.5573684,127.0829801,1060,70.0
265,265,셀파우등생보습학원,서울특별시 광진구 군자로 83,37.5505861,127.0708846,45,78.0
266,266,비상매쓰캔수학교습소,서울특별시 광진구 용마산로3길 98,37.5573684,127.0829801,54,9.0
267,267,크레버스영재교육센터광진제1지점학원,서울특별시 광진구 광나루로 603,37.5420151,127.0955975,100,120.0
