,Unnamed: 0,도로명주소,업태구분명,좌표
580,580,"서울특별시 광진구 천호대로119길 58, 1층 (중곡동)",커피숍,"37.555431, 127.0861418"
581,581,"서울특별시 광진구 뚝섬로55길 25, 1층 (자양동)",일반조리판매,"37.5321404, 127.0818762"
582,582,"서울특별시 광진구 광나루로 383, 1,2층 (군자동)",커피숍,"37.54006, 127.09724"
583,583,"서울특별시 광진구 천호대로 525, 1층 (중곡동)",과자점,"37.5534728, 127.0884141"
584,584,"서울특별시 광진구 용마산로3길 95, 1층 (중곡동)",일반조리판매,"37.5567254, 127.0843354"
585,585,"서울특별시 광진구 용마산로 28, 2층 (중곡동)",일반조리판매,"37.5678699, 127.0861846"
586,586,"서울특별시 광진구 자양로 49, 1층 (자양동)",일반조리판매,"37.5523553, 127.0926757"
587,587,"서울특별시 광진구 천호대로111길 36, 1층 (중곡동)",일반조리판매,"37.5582115, 127.0829527"
588,588,"서울특별시 광진구 아차산로 262, 1층 (자양동)",커피숍,"37.538847, 127.0919729"
589,589,"서울특별시 광진구 자양로13가길 2, 1층 101호 (자양동)",커피숍,"37.5346878, 127.0813712"
590,590,"서울특별시 광진구 자양로 235, 2층 (구의동)",일반조리판매,"37.5287142, 127.0883594"
591,591,"서울특별시 광진구 능동로 90, 1층 (자양동)",일반조리판매,"37.53833375, 127.07090505"
593,593,"서울특별시 광진구 아차산로57길 4, 1층 (구의동)",일반조리판매,"37.5398811, 127.0884729"
594,594,"서울특별시 광진구 아차산로 461, 지층 (구의동)",커피숍,"37.5398604, 127.0932221"
597,597,"서울특별시 광진구 자양로28길 12, 1층 (구의동)",커피숍,"37.541602, 127.0888944"
598,598,서울특별시 광진구 군자로 111 (군자동),일반조리판매,"37.5551426, 127.0759466"
599,599,"서울특별시 광진구 능동로 290, 삼일빌딩 1층 (능동)",커피숍,"37.5340314, 127.0678046"
600,600,"서울특별시 광진구 아차산로 272, 2층 (자양동)",패스트푸드,"37.538418, 127.07323878135787"
601,601,"서울특별시 광진구 광장로5길 5, 1층 (광장동)",커피숍,"37.5485964, 127.1048619"
602,602,"서울특별시 광진구 영화사로 25, 1층 (중곡동)",일반조리판매,"37.5525116, 127.0995989"
603,603,"서울특별시 광진구 자양로28길 40, 1층 (구의동)",일반조리판매,"37.541602, 127.0888944"
604,604,"서울특별시 광진구 구의로 14, 1층 (구의동)",일반조리판매,"37.537839, 127.089116"
608,608,"서울특별시 광진구 자양번영로1길 6, 1층 (자양동)",커피숍,"37.5308138, 127.0734922"
612,612,"서울특별시 광진구 능동로 209, 1층 (군자동, 세종대학교 학술정보원)",커피숍,"37.5510717, 127.0752624"
613,613,"서울특별시 광진구 긴고랑로36길 71, 1층 (중곡동)",일반조리판매,"37.5578487, 127.0921098"
615,615,"서울특별시 광진구 자양로13길 57, 1층 (자양동)",커피숍,"37.5329309, 127.0804176"
616,616,"서울특별시 광진구 아차산로 401, 지층 (구의동)",커피숍,"37.538847, 127.0919729"
617,617,"서울특별시 광진구 천호대로129길 47-1, 1층 (중곡동)",일반조리판매,"37.553229, 127.0914259"
618,618,"서울특별시 광진구 자양로 192-1, 1층 (구의동)",일반조리판매,"37.5446744, 127.0850192"
619,619,"서울특별시 광진구 아차산로70길 26, 1층 (광장동)",커피숍,"37.5392797, 127.0983829"
621,621,"서울특별시 광진구 광나루로37길 32, 1층 (구의동)",일반조리판매,"37.5457324, 127.088457"
622,622,"서울특별시 광진구 능동로 68, 102호 (자양동, 이튼타워리버1차)",커피숍,"37.5340314, 127.0678046"
623,623,"서울특별시 광진구 구의강변로3길 23, 1층 (구의동)",일반조리판매,"37.535266, 127.0909877"
624,624,"서울특별시 광진구 자양로43길 68, 1층 (중곡동)",커피숍,"37.5511317, 127.0910025"
625,625,"서울특별시 광진구 긴고랑로9길 66, 1층 (중곡동)",일반조리판매,"37.564859, 127.0814982"
626,626,"서울특별시 광진구 천호대로 808, 1202동 지하103호 (광장동, 현대12차A)",과자점,"37.5534728, 127.0884141"
627,627,"서울특별시 광진구 자양로26길 93, 1층 (구의동)",커피숍,"37.5410325, 127.086969"
629,629,"서울특별시 광진구 뚝섬로56길 13, 101호 (자양동)",일반조리판매,"37.5298042, 127.0821658"
630,630,"서울특별시 광진구 자양로36길 18-1, 1층 (구의동)",일반조리판매,"37.5461504, 127.0875251"
631,631,"서울특별시 광진구 뚝섬로 635, 2층 (자양동)",커피숍,"37.53347, 127.0883"
632,632,"서울특별시 광진구 용마산로 25, 1층 (중곡동)",패스트푸드,"37.55587935, 127.08794205000001"
633,633,"서울특별시 광진구 자양로43길 28, 지1층 (구의동)",커피숍,"37.5511317, 127.0910025"
634,634,"서울특별시 광진구 광나루로 604, 진넥스 베르디엠 1층 101호 (구의동)",패스트푸드,"37.54006, 127.09724"
635,635,"서울특별시 광진구 군자로 129, 1층 (군자동)",일반조리판매,"37.5433395, 127.071636"
637,637,"서울특별시 광진구 용마산로 100, 1층 (중곡동)",일반조리판매,"37.5678699, 127.0861846"
638,638,"서울특별시 광진구 동일로22길 25, 1층 (화양동)",편의점,"37.5416499, 127.0674994"
639,639,"서울특별시 광진구 광나루로 604, 1, 2층 (구의동, 진넥스베르디엠)",커피숍,"37.54006, 127.09724"
640,640,"서울특별시 광진구 아차산로21길 50, 1층 (화양동)",과자점,"37.5457864, 127.0669574"
641,641,"서울특별시 광진구 동일로 170, 1층 (화양동)",커피숍,"37.5393636, 127.0624104"
643,643,서울특별시 광진구 뚝섬로 681 (자양동),일반조리판매,"37.5315073, 127.0805619"
646,646,"서울특별시 광진구 자양로28길 9, 나동 1층 (구의동)",일반조리판매,"37.541602, 127.0888944"
647,647,"서울특별시 광진구 능동로15길 22, B동 101호 (화양동, 채움하우스)",커피숍,"37.5451479, 127.072113"
648,648,"서울특별시 광진구 천호대로 653, 지층 (중곡동)",커피숍,"37.5534728, 127.0884141"
649,649,"서울특별시 광진구 면목로 67-4, 1층 (중곡동)",커피숍,"37.5671595, 127.0819519"
650,650,"서울특별시 광진구 능동로13길 6, 1층 (화양동)",커피숍,"37.54449, 127.0694089"
651,651,"서울특별시 광진구 광나루로 416, 1층 (화양동)",일반조리판매,"37.54006, 127.09724"
652,652,"서울특별시 광진구 광나루로56길 85, 판매동 지하1층 A001호 (구의동, 테크노마트21 내)",일반조리판매,"37.5349372, 127.0957088"
653,653,"서울특별시 광진구 자양로28길 11, 1층 (구의동)",일반조리판매,"37.541602, 127.0888944"
654,654,"서울특별시 광진구 아차산로 633, 1층 (광장동)",일반조리판매,"37.538847, 127.0919729"
655,655,"서울특별시 광진구 뚝섬로 688, 1층 (자양동)",일반조리판매,"37.53347, 127.0883"
656,656,"서울특별시 광진구 동일로22길 59, 1층 (화양동)",편의점,"37.5416499, 127.0674994"
657,657,"서울특별시 광진구 아차산로 272, 지하1층 (자양동, 이마트 자양점 내)",일반조리판매,"37.538418, 127.07323878135787"
658,658,"서울특별시 광진구 뚝섬로62길 9, 1층 (자양동)",일반조리판매,"37.5318237, 127.0883931"
659,659,"서울특별시 광진구 동일로18길 36, 에이동 105호 (자양동, 건대도시엔 )",편의점,"37.5390686, 127.0661496"
660,660,"서울특별시 광진구 구천면로 14, 2층 (광장동)",일반조리판매,"37.5462597, 127.1085871"
661,661,"서울특별시 광진구 구의로 10, 2층 (구의동)",커피숍,"37.537839, 127.089116"
662,662,"서울특별시 광진구 아차산로30길 39, 1층 (자양동)",일반조리판매,"37.539866, 127.0674768"
663,663,"서울특별시 광진구 광나루로 614, 지하1층 (구의동)",편의점,"37.54006, 127.09724"
664,664,"서울특별시 광진구 동일로18길 100, 1층 (자양동)",일반조리판매,"37.5390686, 127.0661496"
665,665,"서울특별시 광진구 천호대로127길 10, 2층 (중곡동)",일반조리판매,"37.5543393, 127.0909009"
666,666,"서울특별시 광진구 자양로28길 18, 1층 (구의동)",일반조리판매,"37.541602, 127.0888944"
668,668,"서울특별시 광진구 뚝섬로37길 11 (자양동, 우성3차상가 311동108호)",커피숍,"37.5358171, 127.0717595"
669,669,"서울특별시 광진구 자양로 261, 1층 (구의동)",커피숍,"37.5287142, 127.0883594"
670,670,"서울특별시 광진구 능동로19길 9, 2층 (화양동)",커피숍,"37.5468693, 127.0727958"
671,671,"서울특별시 광진구 능동로 92, 9층 (자양동, 롯데백화점 건대스타시티점)",커피숍,"37.538956049999996, 127.07142585170553"
